"Abbeydorney","Kerry","Ireland",
"Abbeyside","Waterford","Ireland",
"Ballylinan","Laois","Ireland",
"Ballylongford","Kerry","Ireland",
"Ballymahon","Longford","Ireland",
"Cabragh","Monaghan","Ireland",
"Caherconlish","Limerick","Ireland",
"Cahersiveen","Kerry","Ireland",
"Cahir","TipperarySouth","Ireland",
"Callan","Kilkenny","Ireland",
"Camolin","Wexford","Ireland",
"Campile","Wexford","Ireland",
"Cappamore","Limerick","Ireland",
"Cappawhite","TipperarySouth","Ireland",
"Cappoquin","Waterford","Ireland",
"Carlingford","Louth","Ireland",
"CarlowTown","Carlow","Ireland",
"Carndonagh","Donegal","Ireland",
"Carnew","Wicklow","Ireland",
"Carragh","Kildare","Ireland",
"Carraroe","Galway","Ireland",
"Carrick-on-Shannon","LeitrimandRoscommon","Ireland",
"Carrick-on-SuirTown","TipperarySouth","Ireland",
"Carrick","Donegal","Ireland",
"CarrickmacrossTown","Monaghan","Ireland",
"Carrigaline","Cork","Ireland",
"Carrigallen","Leitrim","Ireland",
"Carrigans","Donegal","Ireland",
"Carrigkerry","Limerick","Ireland",
"Carrigtwohill","Cork","Ireland",
"Carrowkeel","Donegal","Ireland",
"CashelTown","TipperarySouth","Ireland",
"CastleEllis","Wexford","Ireland",
"CastlebarTown","Mayo","Ireland",
"Castlebellingham/Kilsaran","Louth","Ireland",
"CastleblayneyTown","Monaghan","Ireland",
"Castlebridge","Wexford","Ireland",
"Castlecomer-Donaguile","Kilkenny","Ireland",
"Castleconnell","Limerick","Ireland",
"Castledermot","Kildare","Ireland",
"Castlefin","Donegal","Ireland",
"Castlegregory","Kerry","Ireland",
"Castleisland","Kerry","Ireland",
"Castlelyons","Cork","Ireland",
"Castlemartyr","Cork","Ireland",
"Castlepollard","Westmeath","Ireland",
"Castlerea","Roscommon","Ireland",
"Castletown","Laois","Ireland",
"Castletownbere","Cork","Ireland",
"Castletownroche","Cork","Ireland",
"Castletownshend","Cork","Ireland",
"Causeway","Kerry","Ireland",
"CavanTown","Cavan","Ireland",
"CeannanusMór(formerlyKells)Town","Meath","Ireland",
"Celbridge","Kildare","Ireland",
"Charlestown-Bellahy","MayoandSligo","Ireland",
"Cheekpoint","Waterford","Ireland",
"Churchbay","Cork","Ireland",
"Clane","Kildare","Ireland",
"Clara","Offaly","Ireland",
"Claregalway","Galway","Ireland",
"Claremorris","Mayo","Ireland",
"Clarinbridge","Galway","Ireland",
"Clashmore","Waterford","Ireland",
"Clifden","Galway","Ireland",
"Cliffoney","Sligo","Ireland",
"Clogh-Chatsworth","Kilkenny","Ireland",
"Cloghan","Offaly","Ireland",
"Clogheen","TipperarySouth","Ireland",
"Clogherhead","Louth","Ireland",
"ClonakiltyTown","Cork","Ireland",
"Clonard","Meath","Ireland",
"Clonaslee","Laois","Ireland",
"Clonbullogue","Offaly","Ireland",
"CloneeVillage","Meath","Ireland",
"Clonegal","CarlowandWexford","Ireland",
"ClonesTown","Monaghan","Ireland",
"Clongeen","Wexford","Ireland",
"Clonlara","Clare","Ireland",
"Clonmany","Donegal","Ireland",
"ClonmelBorough","TipperarySouth","Ireland",
"Clonmellon","Westmeath","Ireland",
"Clonroche","Wexford","Ireland",
"Clontuskert","Roscommon","Ireland",
"Cloonboo","Galway","Ireland",
"Cloughjordan","TipperaryNorth","Ireland",
"Cloyne","Cork","Ireland",
"Coachford","Cork","Ireland",
"CobhTown","Cork","Ireland",
"CoillDubh(orBlackwood)","Kildare","Ireland",
"Collinstown","Westmeath","Ireland",
"Collon","Louth","Ireland",
"Collooney","Sligo","Ireland",
"Cong","GalwayandMayo","Ireland",
"Conna","Cork","Ireland",
"Convoy","Donegal","Ireland",
"Coolagary","Offaly","Ireland",
"Coolaney","Sligo","Ireland",
"Coolgreany","Wexford","Ireland",
"Coonagh","Limerick","Ireland",
"Cootehill","Cavan","Ireland",
"CorkCity","Cork","Ireland",
"Corofin","Clare","Ireland",
"Courtmacsherry","Cork","Ireland",
"CourtownHarbour","Wexford","Ireland",
"Cratloe","Clare","Ireland",
"Craughwell","Galway","Ireland",
"Creeslough","Donegal","Ireland",
"Crocknamurleog","Donegal","Ireland",
"Cromane","Kerry","Ireland",
"Crookstown","Cork","Ireland",
"Croom","Limerick","Ireland",
"Crosshaven","Cork","Ireland",
"Crossmolina","Mayo","Ireland",
"Culdaff","Donegal","Ireland",
"D[edit]","Ireland",
"Daingean","Offaly","Ireland",
"Danescastle","Wexford","Ireland",
"Delvin","Westmeath","Ireland",
"Derrinturn","Kildare","Ireland",
"Dingle","Kerry","Ireland",
"Donabate","Fingal","Ireland",
"Donard","Wicklow","Ireland",
"Donegal","Donegal","Ireland",
"Doneraile","Cork","Ireland",
"Donore","Meath","Ireland",
"Doon","Limerick","Ireland",
"Doonbeg","Clare","Ireland",
"Drimoleague","Cork","Ireland",
"DroghedaBorough","Louth","Ireland",
"DroicheadNua(formerlyNewbridge)","Kildare","Ireland",
"Dromahair","Leitrim","Ireland",
"Dromcolliher","Limerick","Ireland",
"Dromina","Cork","Ireland",
"Dromiskin","Louth","Ireland",
"Drommahane","Cork","Ireland",
"Drumconrath","Meath","Ireland",
"Drumkeeran","Leitrim","Ireland",
"Drumlish","Longford","Ireland",
"Drumshanbo","Leitrim","Ireland",
"Drumsna","Leitrim","Ireland",
"Dublin","Dublin","Ireland",
"Duleek","Meath","Ireland",
"Dunboyne","Meath","Ireland",
"Duncannon","Wexford","Ireland",
"Duncormick","Wexford","Ireland",
"DundalkTown","Louth","Ireland",
"Dundrum","TipperarySouth","Ireland",
"Dunfanaghy","Donegal","Ireland",
"DungarvanTown","Waterford","Ireland",
"Dungloe","Donegal","Ireland",
"Dunkineely","Donegal","Ireland",
"Dunlavin","Wicklow","Ireland",
"Dunleer","Louth","Ireland",
"Dunmanway","Cork","Ireland",
"DunmoreEast","Waterford","Ireland",
"Dunmore","Galway","Ireland",
"Dunshaughlin","Meath","Ireland",
"Durrow","Laois","Ireland",
"Durrus","Cork","Ireland",
"E[edit]","Ireland",
"Easky","Sligo","Ireland",
"Edenderry","Offaly","Ireland",
"Elphin","Roscommon","Ireland",
"Emly","TipperarySouth","Ireland",
"Emo","Laois","Ireland",
"Emyvale","Monaghan","Ireland",
"Enfield","Meath","Ireland",
"EnnisTown","Clare","Ireland",
"EnniscorthyTown","Wexford","Ireland",
"Enniskerry","Wicklow","Ireland",
"Ennistymon","Clare","Ireland",
"Eyrecourt","Galway","Ireland",
"F[edit]","Ireland",
"Fahan","Donegal","Ireland",
"Falcarragh(orCrossRoads)","Donegal","Ireland",
"Farran","Cork","Ireland",
"Feakle","Clare","Ireland",
"Fenit","Kerry","Ireland",
"Ferbane","Offaly","Ireland",
"FermoyTown","Cork","Ireland",
"Ferns","Wexford","Ireland",
"Fethard-on-Sea","Wexford","Ireland",
"Fethard","TipperarySouth","Ireland",
"Ford","Wexford","Ireland",
"Fountainstown","Cork","Ireland",
"Foxford","Mayo","Ireland",
"Foynes","Limerick","Ireland",
"Frenchpark","Roscommon","Ireland",
"Freshford","Kilkenny","Ireland",
"Furbogh","Galway","Ireland",
"G[edit]","Ireland",
"Galbally","Limerick","Ireland",
"GalwayCity","Galway","Ireland",
"Garristown","Fingal","Ireland",
"Geashill","Offaly","Ireland",
"Glanworth","Cork","Ireland",
"Glassan","Westmeath","Ireland",
"Glasslough","Monaghan","Ireland",
"Glen","Limerick","Ireland",
"Glenamaddy","Galway","Ireland",
"Glenbeigh","Kerry","Ireland",
"Glencolumbkille","Donegal","Ireland",
"Glencullen","DúnLaoghaire–Rathdown","Dublin","Ireland",
"Glenealy","Wicklow","Ireland",
"Glenties","Donegal","Ireland",
"Glin","Limerick","Ireland",
"Gneevgullia","Kerry","Ireland",
"Golden","TipperarySouth","Ireland",
"Goresbridge","Kilkenny","Ireland",
"Gorey","Wexford","Ireland",
"Gormanston","Meath","Ireland",
"Gort","Galway","Ireland",
"Gortahork","Donegal","Ireland",
"Gortnahoo","TipperarySouth","Ireland",
"Gowran","Kilkenny","Ireland",
"Grahormac","Wexford","Ireland",
"Graiguenamanagh-Tinnahinch","CarlowandKilkenny","Ireland",
"Granard","Longford","Ireland",
"Grange","Sligo","Ireland",
"Grangemore","Kildare","Ireland",
"Greencastle","Donegal","Ireland",
"Greystones","Wicklow","Ireland",
"Gurteen","Sligo","Ireland",
"H[edit]","Ireland",
"Hacketstown","Carlow","Ireland",
"Headford","Galway","Ireland",
"Holycross","TipperaryNorth","andTipperarySouth","Ireland",
"Hospital","Limerick","Ireland",
"I[edit]","Ireland",
"Inchigeelagh","Cork","Ireland",
