"Number","Name","Link","Group1","Group2","Website","Text","Finished"
171,Correlation Of Random Variables (Worked Example),"....",Random Variables,Joint Random Variables,....,....,....
170,The Pareto Type II Distribution - Median and Mean,https://youtu.be/Es0qlyIT-C4,Probability Distributions,Pareto,....,....,....
169,Confidence Intervals for Proportions - Worked Example 3 (Mail order delivery firm),"....",Probability Distributions,Conditional Probability,....,....,....
168,Confidence Intervals for Proportions - Worked Example 2 (Household Damage),"....",Probability Distributions,Conditional Probability,....,....,....
167,Confidence Intervals for Proportions - Worked Example 1,"....",Probability Distributions,Conditional Probability,....,....,....
166,Entropy Calculations In Information Theory (Maximum Entropy),"....",Information Theory,Entropy,"......","....","...."
165,ConditionalProbability HardDrives WorkedExample,"https://studio.youtube.com/video/uWxCXtotF6c/edit",Probability,Conditional Probability,".....","....","....."
164,Accuracy Precision Recall & the F-Measure - Worked Examples,"https://studio.youtube.com/video/ET5d-DsEEn0/edit",Special Topics, Binary Classifiers,".....","....","....."
163,Difference In Means - Hypothesis Testing Worked Example 4,"https://studio.youtube.com/video/Be3bxfSwZ-Y/edit",Inference Procedures,Hypothesis Testing,".....","....","....."
162,Difference In Means - Hypothesis Testing Worked Example 2,"https://studio.youtube.com/video/ONe8OtDBJgM/edit",Inference Procedures,Hypothesis Testing,".....","....","....."
161,Difference in Means - Hypothesis Test Worked Example 3,https://studio.youtube.com/video/OcPywFlqIkQ/edit,"Inference Procedures","Hypothesis Testing",....,....,....
160,Difference In Proportions - Hypothesis Testing Worked Example 4,.....,"Inference Procedures","Hypothesis Testing",....,....,....
159,Difference in Means - Hypothesis Test Worked Example 1,.....,"Inference Procedures","Hypothesis Testing",....,....,....
158,Difference in Proportions - Hypothesis Test Worked Example 2,.....,"Inference Procedures","Hypothesis Testing",....,....,....
157,Difference in Proportions - Hypothesis Test Worked Example 1 (Seatbelts),.....,"Inference Procedures","Hypothesis Testing",....,....,....
156,Poisson Distribution: Worked Example 3,https://studio.youtube.com/video/-kTVA8fDdnM/edit,"Probability Distributions","Poisson",....,....,....
155,Poisson Distribution: Worked Example 2,https://studio.youtube.com/video/LMqT3P9XdUg/edit,"Probability Distributions","Poisson",....,....,....
154,Poisson Distribution Worked Example Using Tables,https://studio.youtube.com/video/irLEuD7tL28/edit,"Probability Distributions","Poisson",....,....,....
153,Exponential Distribution Worked Example 10,"https://studio.youtube.com/video/PLRM8J7T-HQ/edit","Probability Distributions","Exponential",....,....,....
152,Standard Errors for Inference Procedures for Single Sample Proportions,"https://studio.youtube.com/video/HsGYqjlQJhM/edit",Inference Procedures,Confidence Intervals,....,....,....
151,Exponential Distribution Worked Example 7,"https://studio.youtube.com/video/PLpaMVcuCz0/edit","Probability Distributions","Exponential",....,....,....
150,Exponential Distribution Worked Example 6,.....,"Probability Distributions","Exponential",....,....,....
149,Exponential Distribution Worked Example 4,.....,"Probability Distributions","Exponential",....,....,....
148,Exponential Distribution Worked Example 5,"https://studio.youtube.com/video/ZCTmBGGdYLM/","Probability Distributions","Exponential",....,....,....
147,Hypothesis Test For Difference In Means (Small Samples): Worked Example,.....,"Inference Procedures","Hypothesis Testing",....,....,....
146,Hypothesis test of the mean of a small sample: Worked example,.....,"Inference Procedures","Hypothesis Testing",....,....,....
145,Conditional Probability: Worked Example (Faulty Resistors),.....,Probability,"Conditional Probability",....,....,....
144,Conditional Probability: Worked Example,.....,Probability,"Conditional Probability",....,....,....
143,Normal Distribution Worked Example (The Long Jumper),.....,.....,....,....,....,....
142,Dixon Q-Test For Outliers (Introduction to Hypothesis Testing),.....,"Inference Procedures","Hypothesis Testing",....,....,....
141,"Survival Analysis : Nelson Aalen Estimates","...","Survival Analysis","...","...","...","..."
140,"Survival Analysis :  Kaplan Meier Estimates (Lightbulb Example)","...","Survival Analysis","...","...","...","..."
139,"Survival Models:  Cox Regression Models","...","Survival Analysis","...","...","...","..."
138,"Survival Analysis: Tutorial Question on Maximum Likelihood Estimates","...","Survival Analysis","...","...","...","..."
137,"Gamma Distribution: Summations of Gamma Random Variables","https://studio.youtube.com/video/YmCZVldzBYc/edit","Probability Distributions","Gamma","","",""
136,"Gamma Distributions  - Relationship with the  Chi Square Distribution (Worked Example)","https://studio.youtube.com/video/ApP4tecHPTY/edit","Probability Distributions","Gamma","","",""
135,"Gamma Distribution: Cumulant Generating Function","https://studio.youtube.com/video/zgR496RKmMA/edit","Probability Distributions","Gamma","WEBSITE","TEXT","FINISHED"
134,"Hypothesis Testing for Random Variables: Type I and Type II Errors","https://studio.youtube.com/video/YUEs7pIQLf0/edit","...","...","...","...","..."
133,"Hypothesis Testing for Random Variables: Size and Power of a Test","https://studio.youtube.com/video/G8pZFwYyIew/edit","...","...","...","...","..."
132,"Probability Generating Functions - Worked Example","https://studio.youtube.com/video/U7Sk6y3KjEw/edit","...","...","...","...","..."
131,"Deriving the Moment Generating Function of a Discrete Random Variable","https://studio.youtube.com/video/smc03qeIWpw/edit","...","...","...","...","..."
130,"Gamma Distribution - Computing the Mode and Skewness Coefficient","https://studio.youtube.com/video/Ty2i1Mx9GQo/edit","Probability Distributions","Gamma","WEBSITE","TEXT","FINISHED"
129,"The Gamma Distribution - Deriving the Cumulative Distribution Function","https://studio.youtube.com/video/v4F5Pu1USoM/edit","...","...","","",""
128,"Fundamentals of Probability - Venn Diagram Worked Example","https://studio.youtube.com/video/-u8fELauY58/edit","...","...","","",""
127,"Moment Generating Functions ( Expected Values ) - Worked Example","https://studio.youtube.com/video/LSYFHWhIFIs/edit","...","...","","",""
126,"Sampling Distributions for Sample Variances (Chi-square distribution)","https://studio.youtube.com/video/IP-utpvJ0Fw/edit","...","...","","",""
125,"Distribution of Sums of Uniform Random Variables ( Central Limit Theorem - Worked Example)","https://studio.youtube.com/video/UPstIv-FX8E/edit","...","...","","",""
124,"Conditional Probability  - Worked Example (Workplace Accidents)","https://studio.youtube.com/video/FpS8UzBeyZ0/edit","Probability","Conditional Probability","","",""
123,"Probability Generating Functions - Worked Example","https://studio.youtube.com/video/XeH6mcpKgSg/edit","...","...","","",""
122,"Confidence Intervals - Worked Example","https://studio.youtube.com/video/TvXgJTXZPT4/edit","Inference","Confidence Intervals","","",""
121,"Exponential Distribution - Worked Example (with Binomial Distribution)","""https://studio.youtube.com/video/4eJLAXt7ZCE/edit"" -Exponential Distribution - Worked Example (with Binomial Distribution)","...","...","","",""
120,"Width of Confidence Intervals - Worked Example","""https://studio.youtube.com/video/xhjl3Xkjm_Q/edit"" -Width of Confidence Intervals - Worked Example","...","...","","",""
119,"Conditional Probability - Worked Example","""https://studio.youtube.com/video/vh_Fy9lZ4iY/edit"" -Conditional Probability - Worked Example","Probability","Conditional Probability","","",""
118,"Normal Approximation of the Binomial Distribution - Worked Example","""https://studio.youtube.com/video/0oXFjMfB1fQ/edit"" ","Probability Distributions","Approximation","","",""
117,"Confidence Interval for a Sample Mean - Worked Example","""https://studio.youtube.com/video/f8wZi10RanM/edit"" -Confidence Interval for a Sample Mean - Worked Example","Inference","Confidence Intervals","","",""
116,"Conditional Probability -Worked Example ( Car and Home Insurance)","""https://studio.youtube.com/video/ZNr7iYNRm3Q/edit"" -Conditional Probability -Worked Example ( Car and Home Insurance)","Probability","Conditional Probability","","",""
115,"Confidence Interval for a Sample Mean - Worked Example","https://studio.youtube.com/video/0Q8AWds9-j4/edit","Inference","Confidence Intervals","","",""
114,"Normal Approximation of the Binomial Distribution - Worked Example","""https://studio.youtube.com/video/IVAG5kuEVMc/edit"" -Normal Approximation of the Binomial Distribution - Worked Example","Probability Distributions","Approximation","","",""
113,"Normal Approximation of the Binomial Distribution - Worked Example","""https://studio.youtube.com/video/922pUY9CR-c/edit"" -Normal Approximation of the Binomial Distribution - Worked Example","Probability Distributions","Approximation","","",""
112,"Binomial Distribution - Worked Example","https://studio.youtube.com/video/UVtEAF2Yilo/edit","Probability Distributions","Binomial","","",""
111,"Counting Problems - Worked Example","""https://studio.youtube.com/video/Z7RHQTulw9k/edit"" -Counting Problems - Worked Example","...","...","","",""
110,"Normal Approximation of the Binomial Distribution - Worked Example","""https://studio.youtube.com/video/olxga5ArlSs/edit""","Probability Distributions","Approximation","WEBSITE","TEXT","FINISHED"
109,"Difference of Normal Random Variables - Worked Example","https://studio.youtube.com/video/JPQN-VNEeek/edit","Probability Distributions","...","","",""
108,"Joint Distribution of Random Variables  - Health Science Example","""https://studio.youtube.com/video/M6iKFS8FaLg/edit"" -Joint Distribution of Random Variables - Health Science Example","...","...","WEBSITE","TEXT","FINISHED"
107,"Central Limit Theorem & Normal Distribution - Worked Example","""https://studio.youtube.com/video/NPaRc10SwHw/edit"" -Central Limit Theorem &amp; Normal Distribution - Worked Example","...","...","","",""
